total loss, value loss, policy loss, Agent wins, Heuristic wins, Ties
2.340144634246826, 0.43547701835632324, 1.904667615890503, 1, 18, 1
2.1228761672973633, 0.33643296360969543, 1.7864431142807007, 0, 19, 1
1.959177851676941, 0.33553341031074524, 1.623644471168518, 0, 17, 3
1.7416472434997559, 0.3434780240058899, 1.3981691598892212, 0, 17, 3
1.37186861038208, 0.33516958355903625, 1.0366990566253662, 0, 18, 2
1.0958528518676758, 0.32360899448394775, 0.7722437977790833, 1, 12, 7
0.7326224446296692, 0.2893245816230774, 0.4432978630065918, 0, 10, 10
0.566130518913269, 0.32368898391723633, 0.24244150519371033, 0, 10, 10
0.4456914961338043, 0.3043757975101471, 0.14131569862365723, 0, 9, 11
0.33854904770851135, 0.27576592564582825, 0.06278311461210251, 0, 7, 13
0.25092533230781555, 0.23402829468250275, 0.016897039487957954, 0, 6, 14
0.240186870098114, 0.22189843654632568, 0.01828843727707863, 0, 5, 15
0.21133290231227875, 0.1925801932811737, 0.01875270903110504, 0, 10, 10
0.21146175265312195, 0.1939672976732254, 0.01749444752931595, 0, 10, 10
0.18908099830150604, 0.17421604692935944, 0.014864956960082054, 0, 10, 10
0.18434292078018188, 0.1614898294210434, 0.02285309135913849, 0, 10, 10
0.19297663867473602, 0.17514745891094208, 0.017829179763793945, 0, 10, 10
0.19213838875293732, 0.1742469221353531, 0.017891470342874527, 0, 10, 10
0.18541736900806427, 0.17153610289096832, 0.013881268911063671, 0, 10, 10
0.17852868139743805, 0.1654406636953354, 0.013088022358715534, 0, 10, 10
0.15652725100517273, 0.1492549180984497, 0.007272335235029459, 0, 10, 10
0.14865392446517944, 0.1418015956878662, 0.006852335296571255, 0, 10, 10
0.14656147360801697, 0.13570749759674072, 0.010853980667889118, 0, 10, 10
0.14539436995983124, 0.13582685589790344, 0.009567512199282646, 0, 10, 10
0.11010074615478516, 0.10214753448963165, 0.007953207939863205, 0, 9, 11
0.08944838494062424, 0.08339236676692963, 0.006056016776710749, 0, 10, 10
0.11960005015134811, 0.11337155848741531, 0.006228489335626364, 0, 10, 10
0.20627260208129883, 0.1824142038822174, 0.02385839633643627, 0, 10, 10
0.19393227994441986, 0.17495833337306976, 0.01897394470870495, 0, 10, 10
0.173029825091362, 0.16133877635002136, 0.011691045947372913, 0, 10, 10
0.1357441246509552, 0.1253642737865448, 0.010379845276474953, 0, 10, 10
0.23092353343963623, 0.13581761717796326, 0.09510592371225357, 0, 10, 10
0.25085359811782837, 0.15305916965007782, 0.09779441356658936, 0, 10, 10
0.20323802530765533, 0.10395804047584534, 0.09927998483181, 0, 9, 11
0.12688928842544556, 0.11278913915157318, 0.014100153930485249, 0, 10, 10
0.1241726502776146, 0.11210037022829056, 0.012072277255356312, 0, 10, 10
0.1391361802816391, 0.12886635959148407, 0.010269821621477604, 0, 10, 10
0.18780797719955444, 0.15275661647319794, 0.035051360726356506, 0, 10, 10
0.1901288777589798, 0.13083291053771973, 0.05929596722126007, 0, 10, 10
0.21227020025253296, 0.15265899896621704, 0.059611205011606216, 0, 10, 10
0.12608473002910614, 0.09330035001039505, 0.03278437629342079, 0, 10, 10
0.1385529637336731, 0.13104937970638275, 0.007503577042371035, 0, 10, 10
0.11481921374797821, 0.10721012949943542, 0.007609087973833084, 0, 10, 10
0.17578908801078796, 0.1695791780948639, 0.006209910847246647, 0, 10, 10
0.19117820262908936, 0.18342147767543793, 0.0077567314729094505, 0, 9, 11
0.2331942915916443, 0.22588834166526794, 0.0073059434071183205, 0, 9, 11
0.24177981913089752, 0.2054157257080078, 0.03636408969759941, 0, 9, 11
0.20008552074432373, 0.16637249290943146, 0.03371303156018257, 0, 9, 11
0.16980251669883728, 0.1333741396665573, 0.03642838075757027, 0, 7, 13
0.135467529296875, 0.1251300573348999, 0.010337479412555695, 0, 4, 16
0.15190383791923523, 0.13228175044059753, 0.019622089341282845, 0, 5, 15
0.20988403260707855, 0.15058700740337372, 0.059297025203704834, 0, 9, 11
0.186521977186203, 0.1298515349626541, 0.05667044222354889, 0, 7, 13
0.11953616142272949, 0.1010250672698021, 0.018511097878217697, 0, 10, 10
0.11461014300584793, 0.10789143294095993, 0.006718706805258989, 0, 10, 10
0.1579706370830536, 0.15215346217155457, 0.0058171674609184265, 0, 10, 10
0.17274485528469086, 0.16703514754772186, 0.005709709133952856, 0, 10, 10
0.18478821218013763, 0.1799372285604477, 0.004850988741964102, 0, 10, 10
0.13142436742782593, 0.1275733858346939, 0.00385098485276103, 0, 10, 10
0.11203888803720474, 0.10887418687343597, 0.003164703259244561, 0, 10, 10
0.13320370018482208, 0.09323778003454208, 0.03996592015028, 0, 9, 11
0.23161941766738892, 0.13082022964954376, 0.10079918801784515, 0, 9, 11
0.230814591050148, 0.1634349226951599, 0.0673796683549881, 0, 7, 13
0.2860020399093628, 0.2141861915588379, 0.0718158483505249, 0, 10, 10
0.3159618377685547, 0.23927591741085052, 0.07668590545654297, 0, 9, 11
0.2693275213241577, 0.22832034528255463, 0.041007183492183685, 0, 9, 11
0.2206542193889618, 0.1839217245578766, 0.036732498556375504, 0, 8, 12
0.1996261179447174, 0.16662904620170593, 0.032997071743011475, 0, 8, 12
0.16145272552967072, 0.15431027114391327, 0.007142449729144573, 0, 9, 11
0.10456587374210358, 0.09928318113088608, 0.005282691214233637, 0, 10, 10
0.11684361845254898, 0.10986796021461487, 0.0069756587035954, 0, 8, 12
0.0957617312669754, 0.09010791778564453, 0.005653813481330872, 0, 9, 11
0.1308603286743164, 0.12624718248844147, 0.004613142926245928, 0, 5, 15
